sentence,on,at,like,as,with,inside,of,among,in,by,from,during,about,near,out,round,until,along,for,against,across,to,off,upon,towards,under,around,behind,besides,within,beside,into,between,up,over,before,above,down,after,till,toward,without
Now， you don't eat these all [MASK] once,0.6457679325443721,0.21096443214860322,0.005254501865396906,0.13801313344162774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
So you're happy [MASK] your work?,0.9320545176244097,0.0,0.0,0.0,0.0008627406169306827,0.0008627406169306827,0.06622000114172895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Max plugs himself [MASK] again,0.86543132097642,0.0,0.0,0.047909729866014016,0.0,0.0,0.0,0.00016444908441312094,0.08649450007315296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
She has a low opinion [MASK] herself,0.0,0.0,0.0,0.0,0.004878746612356224,0.004878746612356224,0.5834083339370145,0.0,0.0,0.406834172838273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
She also has the advantage [MASK] an outstanding recording,0.0,0.0,0.0,0.0,0.012774993109696951,0.0,0.9616750206709092,0.0,0.0,0.0,0.012774993109696951,0.012774993109696951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Is there anyone else we should know [MASK]?,0.9834091371321149,0.0,0.0,0.0,0.0007581508500337897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015074561167817574,0.0007581508500337897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Find [MASK] which insurance area you live in,0.0,0.0,0.0,0.0,0.0018933534252298658,0.0,0.5205096287748242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.249154001775212,0.2284430160247339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mrs.  Brooks was not usually curious [MASK] her guests,0.0,0.0,0.0,0.0,0.0,0.0,0.41324158900320335,0.0,0.0,0.5562156815788611,0.0,0.0,0.025695668023751034,0.0,0.0,0.0,0.004847061394184457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
I only moved [MASK] a couple of years ago,0.8360671361742358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15712935320246527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002109919469515556,0.0065925186763474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
You live [MASK] home with your parents?,0.0,0.9912878955997667,0.0,0.0,0.0,0.0029040348000777525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0029040348000777525,0.0029040348000777525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[MASK]short， it was Every Irish Town,0.026144008487609123,0.0,0.0,0.16410921720146646,0.0,0.0,0.13469479965373893,0.0,0.6750519746571855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Look [MASK] him!,0.0,0.6223405778323066,0.0,0.0,0.0,0.0,0.1688789831229004,0.0,0.1829215451962151,0.02585889384857799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
I'm shocked [MASK] my husband's behavior,0.0,0.0,0.0,0.0,0.0,0.0,0.07966015474280218,0.0,0.6817077673323052,0.16806207250738936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07057000541750326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
She died [MASK]1890 aged sixty-six,0.27677965211641964,0.0,0.0,0.0,0.0,0.0,0.07376438524186311,0.0,0.3751137202699084,0.2743422423718089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
One was dependent [MASK]the other,0.3857458745468918,0.0,0.0,0.0,1.1129760071026068e-05,0.0,0.35271900625352287,0.0,0.26152398943951427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Then I feel a tap[MASK] the arm,0.2189549843405667,0.5126858662434359,0.0,0.0,0.0,0.0,0.0,0.0,0.26834178759873134,0.0,1.7361817266012886e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
He was well aware[MASK] the importance of a new name,0.960449548440166,0.0,0.0,0.0,0.0005946417860716435,0.0,0.02625987284589983,0.0,0.0,0.0,0.0,0.0,0.012695936927862531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fill [MASK]the survey and send it back to us,0.0,0.0,0.0,0.0,0.0,0.0,0.5648603591959838,0.0,0.30397366514041574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04050659993353233,0.0,0.0,0.0906593757300682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
He rather speaks [MASK] ‘honor’,0.0,0.0,0.0,0.0,0.00808824806662378,0.0,0.6211554831568784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00808824806662378,0.362668020709874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pupils do all sorts [MASK] peculiar things,0.0,0.0,0.0,0.0,0.0,0.0,0.7758102706852931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14479020017328728,0.039699764570709804,0.039699764570709804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
